STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130901,   76.4,24,   71.6,24, 1010.7,19, 1009.9,24,   9.4,24,   7.9,24,  13.0, 999.9,   84.0 ,  72.0 , 0.02G,999.9, 010010,
744860,94789, 20130902,   76.0,24,   73.1,24, 1008.7,15, 1008.1,24,   4.3,24,   5.5,24,   9.9, 999.9,   84.0 ,  73.0 , 0.00H,999.9, 010000,
744860,94789, 20130903,   76.6,24,   66.9,24, 1008.1,17, 1007.1,24,   7.8,24,   7.0,24,  14.0,  20.0,   84.9*,  71.6*, 0.01G,999.9, 110010,
744860,94789, 20130904,   74.1,24,   54.0,24, 1013.8,24, 1013.0,24,  10.0,24,  11.3,24,  18.1,  22.0,   84.9 ,  66.0 , 0.00I,999.9, 000000,
744860,94789, 20130905,   74.2,24,   53.3,24, 1015.2,24, 1014.4,24,  10.0,24,  10.7,24,  15.9,  22.0,   82.0 ,  66.0 , 0.00G,999.9, 000000,
744860,94789, 20130906,   65.3,24,   41.2,24, 1022.4,24, 1021.6,24,  10.0,24,   8.2,24,  14.0, 999.9,   82.0 ,  55.9 , 0.00G,999.9, 000000,
744860,94789, 20130907,   66.6,24,   48.7,24, 1019.0,24, 1018.2,24,  10.0,24,   8.2,24,  15.9, 999.9,   78.1 ,  55.9 , 0.00G,999.9, 000000,
744860,94789, 20130908,   73.8,24,   56.8,24, 1011.7,24, 1010.9,24,  10.0,24,  11.0,24,  15.9,  22.0,   87.1 ,  57.9 , 0.00G,999.9, 010000,
744860,94789, 20130909,   65.3,24,   44.7,24, 1021.5,24, 1020.7,24,  10.0,24,   7.9,24,  15.0,  19.0,   87.1 ,  54.0 , 0.00G,999.9, 000000,
744860,94789, 20130910,   72.7,24,   64.4,24, 1020.9,24, 1020.2,24,  10.0,24,  11.7,24,  15.9, 999.9,   81.0 ,  54.0 , 0.00G,999.9, 000000,
744860,94789, 20130911,   77.5,24,   70.5,24, 1019.0,24, 1018.2,24,   8.5,24,   9.2,24,  19.0,  24.1,   88.0 ,  70.0 , 0.00G,999.9, 000000,
744860,94789, 20130912,   75.2,24,   69.6,24, 1013.0,24, 1012.3,24,   8.0,24,   8.7,24,  15.9,  22.9,   82.0*,  71.6*, 0.00G,999.9, 010010,
744860,94789, 20130913,   72.6,24,   62.0,24, 1005.4,24, 1004.6,24,   9.7,24,   9.5,24,  18.1,  22.9,   82.0 ,  68.0 , 0.38G,999.9, 010000,
744860,94789, 20130914,   62.4,24,   45.6,24, 1013.6,24, 1012.8,24,  10.0,24,  12.1,24,  18.1,  22.0,   80.1 ,  55.0 , 0.09G,999.9, 000000,
744860,94789, 20130915,   61.0,24,   44.6,24, 1021.2,24, 1020.4,24,  10.0,24,   7.8,24,  13.0, 999.9,   72.0 ,  51.1 , 0.00G,999.9, 000000,
744860,94789, 20130916,   65.6,24,   54.6,24, 1018.8,24, 1018.0,24,   9.9,24,   8.4,24,  14.0, 999.9,   75.0 ,  51.1 , 0.00G,999.9, 010000,
744860,94789, 20130917,   59.0,24,   38.0,24, 1027.0,24, 1026.2,24,  10.0,24,  11.7,24,  19.0,  24.1,   75.0 ,  48.9 , 0.02G,999.9, 000000,
744860,94789, 20130918,   59.5,24,   43.1,24, 1026.6,24, 1025.8,24,  10.0,24,   4.6,24,  12.0, 999.9,   70.0 ,  48.9 , 0.00G,999.9, 000000,
