STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130601,   70.9,24,   63.0,24, 1016.1,24, 1015.4,24,  10.0,24,   9.3,24,  20.0,  28.0,   84.0 ,  64.0 , 0.00G,999.9, 000000,
744860,94789, 20130602,   67.8,24,   61.9,24, 1012.0,24, 1011.2,24,   9.7,24,  12.2,24,  18.1,  24.1,   79.0 ,  63.0 , 0.00G,999.9, 000000,
744860,94789, 20130603,   67.2,24,   63.8,24, 1010.4,20, 1009.8,24,   7.8,24,   7.1,24,  13.0, 999.9,   75.9 ,  62.1 , 0.11G,999.9, 010010,
744860,94789, 20130604,   67.4,24,   45.9,24, 1014.5,24, 1013.8,24,  10.0,24,  11.1,24,  18.1,  22.0,   75.9 ,  59.0 , 0.27G,999.9, 000000,
744860,94789, 20130605,   65.3,24,   41.2,24, 1020.9,24, 1020.1,24,  10.0,24,   9.1,24,  14.0,  17.1,   75.9 ,  57.0 , 0.00G,999.9, 000000,
744860,94789, 20130606,   62.9,24,   54.9,24, 1020.1,21, 1019.5,24,  10.0,24,   7.3,24,  15.0, 999.9,   71.1 ,  57.0 , 0.00G,999.9, 010000,
744860,94789, 20130607,   61.8,24,   59.8,24, 1013.0,19, 1012.3,24,   5.6,24,  11.1,24,  17.1,  22.9,   71.1 ,  57.9 , 0.31G,999.9, 010000,
744860,94789, 20130608,   65.3,24,   59.2,24, 1010.8,15, 1007.5,24,   7.1,24,  11.9,24,  18.1,  22.0,   75.9 ,  57.0 , 4.11G,999.9, 010000,
744860,94789, 20130609,   70.1,24,   58.8,24, 1019.7,24, 1018.9,24,  10.0,24,   6.6,24,  14.0, 999.9,   78.1 ,  57.0 , 0.38G,999.9, 000000,
744860,94789, 20130610,   65.9,24,   62.2,24, 1020.0,20, 1019.0,24,   7.2,24,   7.1,24,  18.1,  27.0,   78.1 ,  63.0 , 0.00G,999.9, 010000,
744860,94789, 20130611,   71.1,24,   64.7,24, 1006.8,18, 1006.8,24,   6.8,24,  13.1,24,  21.0,  29.9,   81.0 ,  63.0 , 1.40G,999.9, 110010,
744860,94789, 20130612,   72.3,24,   53.8,24, 1007.6,24, 1006.9,24,  10.0,24,  15.4,24,  21.0,  28.9,   81.0 ,  64.9 , 0.02G,999.9, 000000,
744860,94789, 20130613,   65.6,24,   56.4,24, 1007.1,21, 1006.1,24,   9.4,24,   9.1,24,  20.0,  29.9,   78.1 ,  61.0 , 0.00G,999.9, 010010,
744860,94789, 20130614,   60.6,24,   53.1,24, 1005.1,23, 1003.8,24,   8.2,24,  14.0,24,  21.0,  32.1,   72.0 ,  54.0 , 1.14G,999.9, 010000,
744860,94789, 20130615,   70.1,24,   52.4,24, 1013.6,24, 1012.8,24,  10.0,24,   7.9,24,  15.0,  20.0,   82.0 ,  54.0 , 0.15G,999.9, 000000,
744860,94789, 20130616,   69.5,24,   59.5,24, 1013.4,24, 1012.6,24,  10.0,24,   7.9,24,  22.0,  27.0,   82.0 ,  62.1 , 0.00G,999.9, 000000,
744860,94789, 20130617,   73.6,24,   64.9,24, 1011.7,24, 1010.9,24,   9.9,24,   9.3,24,  20.0, 999.9,   82.0 ,  62.1 , 0.00G,999.9, 010010,
