STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20131001,   67.2,24,   53.5,24, 1015.2,24, 1014.5,24,  10.0,24,   7.1,24,  15.0, 999.9,   81.0 ,  52.0 , 0.00G,999.9, 000000,
744860,94789, 20131002,   71.1,24,   58.1,24, 1014.3,24, 1013.6,24,  10.0,24,   8.0,24,  15.9,  20.0,   84.9 ,  57.9 , 0.00G,999.9, 000000,
744860,94789, 20131003,   71.4,24,   54.4,24, 1018.0,24, 1017.2,24,  10.0,24,   5.4,24,  11.1, 999.9,   84.9 ,  60.1 , 0.00G,999.9, 000000,
744860,94789, 20131004,   69.9,24,   60.9,24, 1017.6,24, 1016.8,24,   9.3,24,   6.3,24,  13.0, 999.9,   80.1 ,  60.1 , 0.00G,999.9, 000000,
744860,94789, 20131005,   68.4,24,   62.9,24, 1017.7,21, 1017.0,24,   6.8,24,   4.8,24,   8.0, 999.9,   80.1 ,  62.1 , 0.01G,999.9, 010000,
744860,94789, 20131006,   66.2,24,   64.0,24, 1018.7,17, 1018.0,24,   2.6,24,   7.8,24,  13.0, 999.9,   75.9 ,  64.0 , 0.00H,999.9, 010000,
744860,94789, 20131007,   70.3,24,   66.1,24, 1014.4,17, 1013.4,24,   7.8,24,  13.5,24,  26.0,  35.0,   78.1 ,  64.0 , 0.00G,999.9, 010000,
744860,94789, 20131008,   61.9,24,   44.1,24, 1020.3,24, 1019.6,24,  10.0,24,  10.5,24,  15.0,  19.0,   78.1 ,  55.0 , 0.26G,999.9, 000000,
744860,94789, 20131009,   59.1,24,   44.4,24, 1027.6,24, 1026.8,24,  10.0,24,   9.1,24,  15.0,  21.0,   68.0 ,  53.1 , 0.00G,999.9, 000000,
744860,94789, 20131010,   59.2,24,   50.6,24, 1023.4,24, 1022.7,24,  10.0,24,  12.1,24,  17.1,  22.0,   66.2*,  55.4*, 0.00G,999.9, 010000,
744860,94789, 20131011,   63.6,24,   55.7,24, 1017.7,23, 1016.8,24,   9.9,24,  14.3,24,  15.9,  22.0,   69.1 ,  55.9 , 0.00G,999.9, 010000,
744860,94789, 20131012,   65.8,24,   49.1,24, 1020.3,23, 1019.6,24,  10.0,24,  11.9,24,  18.1,  26.0,   75.0 ,  59.0 , 0.00G,999.9, 010000,
