STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20131201,   41.9,24,   30.8,24, 1024.5,24, 1024.1,24,   9.9,24,   5.8,24,   8.9, 999.9,   48.9 ,  25.0 , 0.00G,999.9, 000000,
744860,94789, 20131202,   44.5,24,   34.8,24, 1015.5,24, 1014.7,24,   9.6,24,   3.7,24,   7.0, 999.9,   51.1 ,  37.0 , 0.00G,999.9, 000000,
744860,94789, 20131203,   43.9,24,   35.8,24, 1013.2,24, 1012.4,24,   8.3,24,   5.7,24,   9.9, 999.9,   54.0 ,  37.9 , 0.00G,999.9, 000000,
744860,94789, 20131204,   43.7,24,   35.5,24, 1018.2,24, 1017.5,24,   8.7,24,   3.3,24,   6.0, 999.9,   54.0 ,  35.1 , 0.00G,999.9, 000000,
744860,94789, 20131205,   51.4,24,   48.5,24, 1019.2,18, 1018.2,24,   4.5,24,   5.4,24,  11.1, 999.9,   55.9 ,  35.1 , 0.01G,999.9, 110000,
744860,94789, 20131206,   50.5,24,   48.0,24, 1015.4,19, 1014.7,24,   4.4,24,   8.7,24,  15.9,  21.0,   55.9 ,  44.1 , 0.01G,999.9, 110000,
744860,94789, 20131207,   39.0,24,   30.1,24, 1024.8,17, 1022.9,24,   8.3,24,  11.2,24,  15.9,  24.1,   44.1*,  35.6*, 0.73G,999.9, 010000,
744860,94789, 20131208,   32.2,24,   16.5,24, 1034.1,24, 1033.4,24,   9.4,24,   8.5,24,  15.0, 999.9,   43.0 ,  28.0 , 0.17G,  1.2, 001000,
744860,94789, 20131209,   35.9,24,   33.4,24, 1022.8,14, 1022.0,24,   3.8,24,  10.4,24,  14.0,  21.0,   42.1 ,  28.0 , 0.21G,  1.2, 011000,
744860,94789, 20131210,   36.0,24,   31.4,24, 1015.7,22, 1014.5,24,   7.6,24,   9.8,24,  17.1,  22.0,   42.1 ,  32.0 , 0.07G,  1.2, 111000,
744860,94789, 20131211,   30.4,24,   16.6,24, 1023.5,24, 1022.7,24,  10.0,24,  16.3,24,  20.0,  26.0,   37.9 ,  27.0 , 0.28G,  1.2, 000000,
744860,94789, 20131212,   27.5,24,   10.2,24, 1025.4,24, 1024.6,24,  10.0,24,  13.4,24,  19.0,  25.1,   32.0 ,  23.0 , 0.00G,  1.2, 000000,
