STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130801,   72.0,24,   65.2,24, 1015.3,22, 1014.4,24,   9.1,24,   8.3,24,  17.1,  19.0,   82.0 ,  68.0 , 0.00G,999.9, 010000,
744860,94789, 20130802,   75.1,24,   64.8,24, 1011.4,23, 1010.6,24,   9.1,24,   8.6,24,  15.0, 999.9,   84.9 ,  68.0 , 0.65G,999.9, 010000,
744860,94789, 20130803,   74.7,24,   63.5,24, 1012.6,24, 1011.8,24,  10.0,24,   9.9,24,  15.0, 999.9,   84.9 ,  68.0 , 0.00G,999.9, 010000,
744860,94789, 20130804,   75.0,24,   56.7,24, 1011.7,24, 1010.9,24,  10.0,24,   8.6,24,  17.1,  21.0,   82.9 ,  66.9 , 0.00G,999.9, 000000,
744860,94789, 20130805,   72.0,24,   46.5,24, 1016.0,24, 1015.2,24,  10.0,24,  10.0,24,  15.0,  22.9,   82.9 ,  64.0 , 0.00G,999.9, 000000,
744860,94789, 20130806,   72.4,24,   56.8,24, 1018.7,24, 1017.9,24,  10.0,24,   8.0,24,  15.0, 999.9,   80.1 ,  64.0 , 0.00G,999.9, 000000,
744860,94789, 20130807,   73.7,24,   61.2,24, 1020.5,24, 1019.7,24,  10.0,24,   8.8,24,  14.0,  19.0,   80.1 ,  64.0 , 0.00G,999.9, 000000,
744860,94789, 20130808,   74.0,24,   69.5,24, 1018.2,18, 1017.5,24,   9.3,24,  10.9,24,  21.0,  22.0,   81.0*,  69.8*, 0.43G,999.9, 010000,
744860,94789, 20130809,   75.8,24,   72.2,24, 1013.6,20, 1013.0,24,   8.0,24,  13.0,24,  18.1,  25.1,   82.0 ,  70.0 , 0.29G,999.9, 010000,
744860,94789, 20130810,   78.1,24,   63.9,24, 1013.7,24, 1012.8,22,   9.7,24,   9.0,24,  13.0,  19.0,   84.9 ,  71.1 , 0.01G,999.9, 010000,
744860,94789, 20130811,   73.9,24,   53.4,24, 1018.5,24, 1017.7,24,  10.0,24,   7.0,24,  12.0, 999.9,   84.9 ,  66.0 , 0.00G,999.9, 000000,
744860,94789, 20130812,   73.8,24,   67.1,24, 1016.5,24, 1015.7,24,   9.7,24,   5.7,24,  11.1, 999.9,   81.0 ,  66.0 , 0.15G,999.9, 010000,
744860,94789, 20130813,   72.4,24,   68.5,24, 1010.4,21, 1009.7,24,   7.6,24,   4.6,24,   8.9, 999.9,   80.1 ,  69.1 , 0.34G,999.9, 010010,
744860,94789, 20130814,   70.2,24,   53.7,24, 1010.1,24, 1009.0,24,  10.0,24,  13.0,24,  22.0,  28.0,   77.0 ,  61.0 , 0.73G,999.9, 000000,
744860,94789, 20130815,   69.2,24,   48.8,24, 1018.7,24, 1017.9,24,  10.0,24,   9.2,24,  17.1,  20.0,   77.0 ,  60.1 , 0.00G,999.9, 000000,
744860,94789, 20130816,   70.5,24,   54.6,24, 1021.2,24, 1020.4,24,   9.9,24,   6.4,24,  13.0, 999.9,   79.0 ,  60.1 , 0.00G,999.9, 000000,
744860,94789, 20130817,   72.0,24,   56.7,24, 1024.1,24, 1023.3,24,  10.0,24,   5.2,24,   8.9, 999.9,   81.0 ,  62.1 , 0.00G,999.9, 000000,
744860,94789, 20130818,   71.1,24,   58.8,24, 1023.9,24, 1023.1,24,  10.0,24,   4.3,24,   7.0, 999.9,   81.0 ,  62.1 , 0.00G,999.9, 010000,
744860,94789, 20130819,   71.3,24,   59.5,24, 1019.6,24, 1018.8,24,  10.0,24,   8.1,24,  15.0, 999.9,   78.1 ,  64.9 , 0.00G,999.9, 010000,
744860,94789, 20130820,   75.3,24,   64.4,24, 1018.9,24, 1018.1,24,   8.6,24,   8.2,24,  14.0, 999.9,   84.9 ,  64.9 , 0.00G,999.9, 000000,
744860,94789, 20130821,   77.2,24,   66.0,24, 1020.7,24, 1019.9,24,   9.8,24,   6.8,24,  15.0, 999.9,   88.0 ,  68.0 , 0.00G,999.9, 000000,
744860,94789, 20130822,   74.4,24,   69.9,24, 1016.7,23, 1016.0,24,   9.2,24,   7.2,24,  11.1, 999.9,   88.0 ,  69.1 , 0.00G,999.9, 010010,
744860,94789, 20130823,   76.1,24,   60.0,24, 1014.1,24, 1013.3,24,   9.8,24,   9.7,24,  14.0,  20.0,   84.0 ,  71.1 , 0.08G,999.9, 000000,
744860,94789, 20130824,   71.6,24,   52.9,24, 1023.1,24, 1022.3,24,  10.0,24,   9.3,24,  13.0,  18.1,   84.0 ,  64.0 , 0.00G,999.9, 000000,
744860,94789, 20130825,   71.7,24,   56.6,24, 1027.7,24, 1026.9,24,  10.0,24,   7.4,24,  15.0, 999.9,   81.0 ,  63.0 , 0.00G,999.9, 000000,
744860,94789, 20130826,   73.6,24,   58.9,24, 1021.2,24, 1020.4,24,  10.0,24,  12.3,24,  17.1, 999.9,   84.0 ,  63.0 , 0.00G,999.9, 000000,
744860,94789, 20130827,   77.9,24,   66.4,24, 1011.9,24, 1011.1,24,  10.0,24,  11.2,24,  15.0,  22.0,   88.0 ,  68.0 , 0.05G,999.9, 010000,
744860,94789, 20130828,   76.7,24,   67.3,24, 1011.9,24, 1011.1,24,   9.7,24,   3.8,24,   9.9, 999.9,   88.0 ,  69.1 , 0.03G,999.9, 000000,
744860,94789, 20130829,   75.0,24,   66.7,24, 1014.6,23, 1013.6,24,   9.2,24,   7.0,24,  13.0,  19.0,   84.9 ,  69.1 , 0.00G,999.9, 010000,
744860,94789, 20130830,   73.8,24,   65.5,24, 1015.2,20, 1014.9,24,  10.0,24,   8.5,24,  14.0, 999.9,   82.9 ,  69.1 , 0.00G,999.9, 000000,
744860,94789, 20130831,   76.1,24,   69.4,24, 1011.4,23, 1010.6,24,   9.7,24,  10.0,24,  15.9, 999.9,   82.9 ,  69.1 , 0.00G,999.9, 000000,
